task_id	hash	native_id	name	status	exit	realtime	peak_vmem	peak_rss
1	1d/5962ba	2254153	obtain_dataset_ntc_tuples	COMPLETED	0	10.7s	1 GB	352.5 MB
6	d7/43bcd5	2254158	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 25s	38.7 GB	38 GB
13	4e/333402	2254165	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 24s	38.7 GB	38 GB
20	92/3fa1be	2254171	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 26s	38.7 GB	38 GB
27	1b/2a5f98	2254179	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 17s	38.7 GB	38 GB
2	1c/cc1b50	2254156	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	17m 13s	25.8 GB	24.9 GB
9	3e/6ffd0b	2254161	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	17m 39s	25.7 GB	24.9 GB
16	59/b7969a	2254169	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	18m 45s	25.8 GB	24.9 GB
3	6a/acf597	2254154	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 32s	10.5 GB	9.7 GB
10	02/189891	2254162	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 34s	10.5 GB	9.7 GB
17	a1/11b6e7	2254168	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	24m 4s	10.5 GB	9.7 GB
23	ba/e069d9	2254175	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	17m 24s	25.7 GB	24.8 GB
34	09/61ea48	2254186	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 28s	38.7 GB	38 GB
41	ef/5eabc9	2254193	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 20s	38.7 GB	38 GB
48	a4/b83da2	2254200	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 37s	38.7 GB	38 GB
55	67/3d0d98	2254207	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 20s	38.7 GB	38 GB
24	16/285d8c	2254176	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	26m 20s	10.5 GB	9.7 GB
37	b0/8dda61	2254190	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	16m 53s	25.8 GB	24.9 GB
30	3e/49ca9f	2254182	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	18m 20s	25.8 GB	24.9 GB
31	af/484616	2254184	run_method (frangieh/co_culture/gene+seurat_de)	COMPLETED	0	26m 28s	10.5 GB	9.7 GB
44	c8/cc8110	2254196	run_method (frangieh/co_culture/gene+schraivogel_method)	COMPLETED	0	19m 16s	25.8 GB	24.9 GB
69	ac/0831d5	2254222	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 40s	38.7 GB	38 GB
76	80/8b1caa	2254228	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 37s	38.7 GB	38 GB
83	dc/e63efe	2254235	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 37s	38.7 GB	38 GB
90	ad/4788f3	2254243	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 20s	38.7 GB	38 GB
62	0e/b40fe9	2254214	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 19s	38.7 GB	38 GB
97	96/0d1877	2254249	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 20s	38.7 GB	38 GB
104	01/c5c848	2254256	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 36s	38.7 GB	38 GB
