task_id	hash	native_id	name	status	exit	realtime	peak_vmem	peak_rss
1	d2/67e402	2255813	obtain_dataset_ntc_tuples	COMPLETED	0	9.3s	1.1 GB	389 MB
27	5f/91eeb6	2255839	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 49s	38.7 GB	38 GB
20	72/0aa8c3	2255831	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 58s	38.7 GB	38 GB
34	7c/e9e504	2255846	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	2m 55s	38.7 GB	38 GB
6	0d/097eff	2255817	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 33s	38.7 GB	38 GB
13	52/c78a1f	2255826	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	4m	38.7 GB	38 GB
55	af/e114a9	2255867	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 43s	38.7 GB	38 GB
62	b3/e016d8	2255875	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 37s	38.7 GB	38 GB
41	2d/12d996	2255853	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 36s	38.7 GB	38 GB
90	1d/d8a51b	2255902	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 22s	38.7 GB	38 GB
48	75/832137	2255859	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 28s	38.7 GB	38 GB
69	e2/3c0858	2255881	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 43s	38.7 GB	38 GB
76	1f/ceecd7	2255888	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 42s	38.7 GB	38 GB
83	43/ca545d	2255895	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 49s	38.7 GB	38 GB
1610	23/fc9f86	2256023	run_method (papalexi/eccite_screen/protein+nb_regression)	COMPLETED	0	11.3s	1.1 GB	393.9 MB
97	74/4878a1	2255909	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 40s	38.7 GB	38 GB
104	b1/aa1a5f	2255916	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 22s	38.7 GB	38 GB
2008	26/6053c3	2256014	run_method (schraivogel/enhancer_screen_chr8/gene+permutation_test)	COMPLETED	0	48s	4.3 GB	3.6 GB
111	72/307b13	2255922	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 28s	38.7 GB	38 GB
160	24/c65018	2255972	run_method (frangieh/co_culture/gene+weissman_method)	COMPLETED	0	3m 34s	38.7 GB	38 GB
1986	28/95ec5f	2256024	run_method (schraivogel/enhancer_screen_chr8/gene+weissman_method)	COMPLETED	0	28.2s	4.3 GB	3.6 GB
